STATEFP10,PUMACE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
36,04018,3604018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,G6120,S,8902508,21195890,+40.5763218,-073.9982325
36,04010,3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",G6120,S,7976385,0,+40.6476763,-073.9343024
36,04016,3604016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",G6120,S,11205227,1509925,+40.5919606,-073.9475256
36,04017,3604017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,G6120,S,9574264,996994,+40.6059414,-073.9950743
36,04007,3604007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,G6120,S,6709367,0,+40.6682080,-073.9071966
36,04009,3604009,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,G6120,S,32885164,27754734,+40.6124441,-073.8940807
36,04015,3604015,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,G6120,S,7529574,0,+40.6304007,-073.9591384
36,04011,3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",G6120,S,4424282,0,+40.6613595,-073.9478883
36,04012,3604012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,G6120,S,10396133,4743277,+40.6526242,-074.0114430
36,04005,3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",G6120,S,10365262,5661245,+40.6719366,-074.0020800
36,04013,3604013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,G6120,S,9970237,6745946,+40.6256693,-074.0316296
36,04004,3604004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,G6120,S,8060809,419809,+40.6914104,-073.9759312
36,04001,3604001,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,G6120,S,10683565,359427,+40.7189278,-073.9476471
36,04003,3604003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,G6120,S,5949119,0,+40.6898698,-073.9410681
36,04002,3604002,NYC-Brooklyn Community District 4--Bushwick PUMA,G6120,S,6567246,0,+40.6969511,-073.9206354
36,04006,3604006,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,G6120,S,5753077,0,+40.6749932,-073.9439964
36,04008,3604008,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,G6120,S,15715596,568323,+40.6634989,-073.8765222
36,04014,3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",G6120,S,8145963,0,+40.6299310,-073.9826824
